La Flute De Pan; acoustic; 0.200887; 0.98568; 0.283182; 155.24816; 0.294559; 6; 0.964009; -16.045; 1; 0.042079; 90.704; 4; 0.094128
Paranoimia (Featuring Max Headroom); studio; 0.284222; 0.182119; 0.766022; 199.56354; 0.551081; 11; 0.177338; -14.13; 0; 0.042851; 111.905; 4; 0.791972
Legs; studio; 0.260922; 0.136731; 0.826085; 208.37832; 0.672434; 1; 0.201699; -15.645; 0; 0.033988; 115.012; 4; 0.646616
Moments In Bed; studio; 0.264372; 0.102598; 0.785805; 371.56526; 0.299015; 9; 0.088282; -11.888; 1; 0.047692; 137.92; 4; 0.38648
The Holy Egoism Of Genius; live; 0.145806; 0.013543; 0.431335; 420.51293; 0.785169; 6; 0.988383; -10.007; 0; 0.070386; 177.062; 4; 0.180928
Legacy; studio; 0.116921; 0.046199; 0.709973; 205.49333; 0.865311; 10; 0.331935; -12.861; 0; 0.05328; 102.08; 4; 0.410905
How To Kill; studio; 0.144095; 0.25901; 0.272166; 162.46621; 0.184473; 1; 0.089026; -12.218; 1; 0.031982; 83.84; 3; 0.039106
Robinson Crusoe; instrumental; 0.274342; 0.078447; 0.693873; 229.09288; 0.345947; 9; 0.202407; -11.714; 0; 0.031703; 97.542; 3; 0.573965
Peter Gunn (Featuring Duane Eddy); studio; 0.396481; 0.008354; 0.655879; 228.00063; 0.916137; 10; 0.219268; -6.587; 1; 0.032161; 119.9; 4; 0.882474
Realization; studio; 0.181945; 0.024293; 0.405083; 105.57288; 0.564503; 9; 0.127831; -14.08; 0; 0.338779; 93.656; 5; 0.252953
The Army Now; instrumental; 0.206791; 0.006154; 0.903727; 123.52971; 0.549765; 1; 0.042398; -12.022; 1; 0.088482; 111.793; 4; 0.908312
Rapt: In The Evening Air; electric; 0.199401; 0.286179; 0.325407; 483.39256; 0.65503; 7; 0.858054; -10.793; 1; 0.222521; 173.251; 4; 0.234985
The Long Hello; studio; 0.071879; 0.67411; 0.231745; 275.34177; 0.537894; 3; 0.105279; -15.263; 1; 0.109991; 138.267; 1; 0.365073
The Uncertainty Of Syrup; studio; 0.130471; 0.327852; 0.351208; 82.47683; 0.310557; 7; 0.190486; -16.044; 0; 0.1953; 78.201; 4; 0.09637
Love Beat; studio; 0.305509; 0.537678; 0.683148; 317.41288; 0.226564; 4; 0.269923; -18.309; 0; 0.034249; 104.808; 4; 0.220192
Dreaming In Colour; studio; 0.15602; 0.110593; 0.491885; 582.49533; 0.582177; 2; 0.349127; -14.506; 1; 0.043077; 131.994; 4; 0.096781
Who's Afraid (Of The Art Of Noise); studio; 0.233571; 0.079486; 0.706849; 260.83955; 0.898264; 4; 0.40308; -13.09; 1; 0.065498; 119.655; 4; 0.728332
Approximate Mood Swing No: 2; instrumental; 0.181351; 0.298587; 0.57194; 131.61025; 0.454142; 9; 0.124824; -9.037; 1; 0.025517; 133.512; 4; 0.32659
Metaphor On The Floor; studio; 0.178816; 0.069983; 0.565388; 126.17678; 0.966433; 1; 0.36085; -6.1; 1; 0.061203; 135.055; 4; 0.618584
Close (To The Edit); studio; 0.364247; 0.022543; 0.682413; 337.75007; 0.874615; 5; 0.054974; -7.973; 1; 0.044446; 107.215; 4; 0.71768
Once Upon A Lime; studio; 0.165583; 0.729409; 0.688238; 202.15247; 0.742001; 11; 0.254858; -10.786; 1; 0.040772; 110.176; 4; 0.797479
Diversions 5; studio; 0.102285; 0.060819; 0.801054; 226.34766; 0.813241; 1; 0.054307; -10.699; 1; 0.045821; 108.628; 4; 0.78056
Beat Box; studio; 0.265171; 0.047803; 0.830601; 290.52762; 0.87457; 10; 0.088591; -9.88; 1; 0.051713; 108.369; 4; 0.569233
Moments In Love; studio; 0.4716; 0.28626; 0.729591; 282.15955; 0.164793; 6; 0.089057; -17.002; 0; 0.076955; 137.767; 4; 0.409596
Information; studio; 0.142047; 0.255412; 0.447373; 180.65079; 0.753304; 2; 0.168087; -10.578; 0; 0.112956; 131.612; 4; 0.513047
Something Always Happens; studio; 0.145126; 0.055541; 0.718168; 150.40109; 0.817222; 6; 0.021173; -13.648; 1; 0.037516; 107.869; 4; 0.934812
Crusoe; studio; 0.193384; 0.574045; 0.281719; 303.56853; 0.364631; 8; 0.259541; -22.341; 1; 0.111805; 82.34; 1; 0.431123
On Being Blue; live; 0.209073; 0.699166; 0.52408; 284.76907; 0.42059; 8; 0.975887; -12.895; 0; 0.028607; 107.975; 3; 0.167567
Kiss (feat. Tom Jones); electric; 0.231036; 0.1192; 0.96081; 211.27955; 0.871381; 10; 0.833501; -8.676; 1; 0.092547; 115.698; 4; 0.690792
Yebo; studio; 0.170382; 0.554528; 0.582336; 230.51864; 0.672329; 2; 0.059492; -12.887; 1; 0.065688; 90.081; 4; 0.882208
Motive; studio; 0.149284; 0.217194; 0.783954; 308.97288; 0.43277; 4; 0.077353; -11.413; 1; 0.058553; 108.007; 3; 0.674204
Il Pleure; live; 0.156627; 0.24327; 0.276847; 487.33995; 0.606366; 6; 0.954961; -11.2; 0; 0.048987; 162.087; 4; 0.065073
